,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
232,0.1,464465,0.14,3.02,0.0,0.0026,83.4478,0.0,0
233,0.1,466467,0.09,3.09,0.0122,0.0023,82.6348,0.0,0
234,0.1,468469,0.14,3.31,0.0032,0.0043,72.063,0.0,0
235,0.1,470471,0.15,3.02,0.0403,0.0032,73.2906,0.0,0
236,0.1,472473,-0.04,3.14,0.0321,0.0042,78.263,0.0,0
237,0.1,474475,0.1,3.23,0.01,0.0045,90.7972,0.0,0
238,0.1,476477,0.13,3.31,0.0191,0.0026,74.3335,0.0,0
239,0.1,478479,0.09,3.02,0.0244,0.0033,67.6377,0.0,0
240,0.1,480481,0.13,3.14,0.0352,0.0026,75.0475,0.0,0
241,0.1,482483,0.13,3.16,0.0306,0.0055,81.5564,0.0,0
242,0.1,484485,0.07,3.17,0.0109,0.0038,67.984,0.0,0
243,0.1,486487,0.14,3.34,0.0175,0.0021,75.5132,0.0,0
244,0.1,488489,0.09,3.15,0.0075,0.0014,82.1548,0.0,0
245,0.1,490491,-0.05,3.52,0.0125,0.0032,64.25,0.0,0
246,0.1,492493,0.07,3.15,0.0505,0.0012,81.7801,0.0,0
247,0.1,494495,0.08,2.92,0.0424,0.0057,70.447,0.0,0
248,0.1,496497,0.15,3.18,0.005,0.0075,76.3136,0.0,0
249,0.1,498499,0.18,3.1,0.0183,0.0046,72.62899999999999,0.0,0
250,0.1,500501,0.16,3.25,0.0215,0.002,76.6262,0.0,0
251,0.1,502503,0.14,3.07,0.0101,0.0005,96.3368,0.0,0
252,0.1,504505,0.17,2.91,0.0399,0.0025,65.5869,0.0,0
253,0.1,506507,0.03,2.9,0.0104,0.0022,75.3709,0.0,0
254,0.1,508509,0.08,3.18,0.0122,0.0028,78.789,0.0,0
255,0.1,510511,0.09,3.32,0.0275,0.0013,77.9523,0.0,0
256,0.1,512513,0.3,3.38,0.0059,0.0019,78.4863,0.0,0
257,0.1,514515,0.06,3.34,0.0319,0.0012,64.6055,0.0,0
258,0.1,516517,0.16,3.24,0.0183,0.0048,71.2082,0.0,0
259,0.1,518519,0.02,3.56,0.0127,0.0018,75.2974,0.0,0
260,0.1,520521,0.3,3.29,0.0272,0.0035,79.1086,0.0,0
261,0.1,522523,0.11,3.14,0.0488,0.0018,66.1104,0.0,0
262,0.1,524525,0.11,3.18,0.0016,0.0029,71.5385,0.0,0
263,0.1,526527,0.06,3.06,0.0681,0.0051,77.0898,0.0,0
264,0.1,528529,0.11,3.28,0.0186,0.0024,82.5733,0.0,0
